Date,Fremont Bridge West Sidewalk,Fremont Bridge East Sidewalk,
4/23/2016,935,736,
4/24/2016,249,214,
4/25/2016,1509,1420,
4/26/2016,1993,2125,
4/27/2016,1899,1894,
4/28/2016,1849,2021,
4/29/2016,1427,1514,
4/30/2016,1177,1068,
5/1/2016,1323,1165,
5/2/2016,2778,2878,
5/3/2016,2599,2714,
5/4/2016,2023,2066,
5/5/2016,2435,2523,
5/6/2016,2405,2312,
5/7/2016,1536,1234,
5/8/2016,648,530,
5/9/2016,2367,2485,
5/10/2016,2781,2768,
5/11/2016,2717,2777,
5/12/2016,2524,2635,
5/13/2016,2425,2540,
5/14/2016,850,747,
5/15/2016,542,498,
5/16/2016,1791,2012,
5/17/2016,2478,2687,
5/18/2016,2258,2297,
5/19/2016,1589,1670,
5/20/2016,2464,2247,
5/21/2016,365,376,
5/22/2016,996,962,
5/23/2016,1975,2232,
5/24/2016,2238,2413,
5/25/2016,2168,2335,
5/26/2016,1927,2043,
5/27/2016,1401,1462,
5/28/2016,581,604,
5/29/2016,427,472,
5/30/2016,1534,1431,
5/31/2016,2450,2449,
6/1/2016,4809,2354,
6/2/2016,4085,1931,
6/3/2016,4470,2181,
6/4/2016,2639,1361,
6/5/2016,2133,1132,
6/6/2016,4764,2263,
6/7/2016,5087,2428,
6/8/2016,4627,2235,
6/9/2016,3970,1885,
6/10/2016,3278,1550,
6/11/2016,1660,901,
6/12/2016,2174,1078,
6/13/2016,3561,1644,
6/14/2016,3214,1511,
6/15/2016,4388,2073,
6/16/2016,4319,2044,
6/17/2016,3553,1679,
6/18/2016,1117,531,
6/19/2016,2273,1131,
6/20/2016,4348,2053,
6/21/2016,4425,2090,
6/22/2016,4724,2213,
6/23/2016,2572,1223,
6/24/2016,2615,1180,
6/25/2016,2223,1170,
6/26/2016,2500,1243,
6/27/2016,4546,2127,
6/28/2016,4745,2197,
6/29/2016,4484,2113,
6/30/2016,4314,2030,
7/1/2016,3698,1770,
7/2/2016,2014,1073,
7/3/2016,1781,824,
7/4/2016,2208,1058,
7/5/2016,3221,1524,
7/6/2016,4816,2306,
7/7/2016,3426,1563,
7/8/2016,3974,1683,
7/9/2016,2029,1025,
7/10/2016,2229,1188,
7/11/2016,4145,1893,
7/12/2016,4384,2074,
7/13/2016,4696,2242,
7/14/2016,4621,2203,
7/15/2016,3836,1772,
7/16/2016,2069,1026,
7/17/2016,2037,1025,
7/18/2016,3897,1825,
7/19/2016,4478,2163,
7/20/2016,4648,2220,
7/21/2016,4551,2120,
7/22/2016,2078,975,
7/23/2016,2107,1067,
7/24/2016,2170,1136,
7/25/2016,4375,2033,
7/26/2016,4744,2239,
7/27/2016,4794,2208,
7/28/2016,4483,2137,
7/29/2016,3938,1848,
7/30/2016,2131,1059,
7/31/2016,2105,1094,
8/1/2016,1999,2250,
8/2/2016,1705,1852,
8/3/2016,2108,2413,
8/4/2016,2136,2387,
8/5/2016,1822,2033,
8/6/2016,951,1027,
8/7/2016,817,787,
8/8/2016,1570,1943,
8/9/2016,1947,2214,
8/10/2016,2080,2430,
8/11/2016,2126,2443,
8/12/2016,1722,2151,
8/13/2016,947,944,
8/14/2016,1163,1439,
8/15/2016,1996,2370,
8/16/2016,2162,2508,
8/17/2016,2096,2515,
8/18/2016,2065,2376,
8/19/2016,1636,2088,
8/20/2016,942,1009,
8/21/2016,874,870,
8/22/2016,1900,2392,
8/23/2016,2125,2560,
8/24/2016,2061,2562,
8/25/2016,2011,2371,
8/26/2016,1766,2130,
8/27/2016,857,876,
8/28/2016,775,760,
8/29/2016,1985,2338,
8/30/2016,2017,2375,
8/31/2016,1625,1981,
